Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,,Supplies and equipment,,2362007
Solicitor General,Operating Expense,Emergency Planning and Management Program,Office of the Fire Marshal and Emergency Management,,Transfer payments,Grants for Fire Safety,2557966
Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,,Salaries and wages,,7673030
Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,,Employee benefits,,975127
Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,,Transportation and communication,,41588
Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,,Services,,219778
Solicitor General,Operating Expense,Policy and Strategic Planning Division Program,Strategic Policy Research and Innovation,,Supplies and equipment,,34850
Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,,Salaries and wages,,6405905
Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,,Employee benefits,,869468
Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,,Transportation and communication,,158297
Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,,Services,,2028871
Solicitor General,Operating Expense,Inspectorate Program,Inspectorate,,Supplies and equipment,,53502
Solicitor General,Operating Expense,Public Safety Division Program,Statutory Appropriations,,Other transactions,,4719300
Solicitor General,Capital Expense,Public Safety Division Program,Public Safety Division,,Transfer payments,Federal-Provincial First Nations Policing Agreements,18477826
Solicitor General,Capital Expense,Public Safety Division Program,Public Safety Division,,Transfer payments,Policing Equipment,2597340
Solicitor General,Capital Expense,Public Safety Division Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",752908
Solicitor General,Capital Expense,Ontario Provincial Police Program,Ontario Provincial Police,,Other transactions,Capital Investments,125468
Solicitor General,Capital Expense,Ontario Provincial Police Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",15535294
Solicitor General,Capital Expense,Correctional Services Program,Statutory Appropriations,,Other transactions,"Amortization, Institutional Services, the Financial Administration Act",666785
Solicitor General,Capital Expense,Justice Technology Services Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",1569393
Solicitor General,Capital Expense,Emergency Planning and Management Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",580571
Solicitor General,Operating Expense,Public Safety Division Program,Public Safety Division – Office of the Assistant Deputy Minister,,Supplies and equipment,,1169
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Salaries and wages,,7280616
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Employee benefits,,908593
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Transportation and communication,,34202819
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Services,,15234275
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Supplies and equipment,,140911
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Transfer payments,Next Generation 9-1-1,78918755
Solicitor General,Operating Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Recoveries,,-539106
Solicitor General,Capital Expense,Emergency Services Telecommunications Program,Emergency Services Telecommunications,,Other transactions,,955359
Solicitor General,Capital Expense,Emergency Services Telecommunications Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",2341429
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Salaries and wages,,11728282
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Employee benefits,,1554413
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Transportation and communication,,91247
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Services,,328264627
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Supplies and equipment,,329573
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Transfer payments,Realty trasactions,3608712
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Other transactions,,7891132
Infrastructure,Operating Expense,Government Real Estate,Government Real Estate,,Recoveries,,-29256231
Infrastructure,Operating Expense,Government Real Estate,Legislative Building Program,,Salaries and wages,,528612
Infrastructure,Operating Expense,Government Real Estate,Legislative Building Program,,Employee benefits,,62800
Infrastructure,Operating Expense,Government Real Estate,Legislative Building Program,,Transportation and communication,,3709
Infrastructure,Operating Expense,Government Real Estate,Legislative Building Program,,Services,,1103004
Infrastructure,Operating Expense,Government Real Estate,Legislative Building Program,,Supplies and equipment,,2174
Infrastructure,Operating Expense,Government Real Estate,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",15429
Infrastructure,Operating Expense,Government Real Estate,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salary, the Executive Council Act",16668
Infrastructure,Capital Expense,Government Real Estate,Government Real Estate,,Transfer payments,,625088
Infrastructure,Capital Expense,Government Real Estate,Government Real Estate,,Transportation and communication,,3048
Infrastructure,Capital Expense,Government Real Estate,Government Real Estate,,Services,,154623275
Infrastructure,Capital Expense,Government Real Estate,Government Real Estate,,Supplies and equipment,,452475
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Salaries and wages,,7665023
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Employee benefits,,970678
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Transportation and communication,,25482
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Services,,1850766
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Supplies and equipment,,362732
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Transfer payments,Ontario Place Redevelopment,566918
Infrastructure,Operating Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects & Agency Oversight,,Transfer payments,Transit Oriented Communities,59206103
Infrastructure,Capital Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects,,Services,,51486156
Infrastructure,Capital Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects,,Transfer payments,Toronto Waterfront Revitalization,25000000
Infrastructure,Capital Expense,Infrastructure Partnership Projects & Agency Oversight,Infrastructure Partnership Projects,,Transfer payments,Ontario Place Redevelopment,202040
Infrastructure,Capital Expense,Infrastructure Partnership Projects & Agency Oversight,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",2458942
Solicitor General,Operating Expense,Data Insights and Strategic Initiatives,Data Insights and Strategic Initiatives,,Salaries and wages,,2995260
Solicitor General,Operating Expense,Data Insights and Strategic Initiatives,Data Insights and Strategic Initiatives,,Employee benefits,,336580
Solicitor General,Operating Expense,Data Insights and Strategic Initiatives,Data Insights and Strategic Initiatives,,Transportation and communication,,11534
Solicitor General,Operating Expense,Data Insights and Strategic Initiatives,Data Insights and Strategic Initiatives,,Services,,538489
Solicitor General,Operating Expense,Data Insights and Strategic Initiatives,Data Insights and Strategic Initiatives,,Supplies and equipment,,547
Solicitor General,Operating Expense,Health Services,Health Services,,Salaries and wages,,5072704
Solicitor General,Operating Expense,Health Services,Health Services,,Employee benefits,,651685
Solicitor General,Operating Expense,Health Services,Health Services,,Transportation and communication,,57615
Solicitor General,Operating Expense,Health Services,Health Services,,Services,,13965726
Solicitor General,Operating Expense,Health Services,Health Services,,Supplies and equipment,,28224254
Solicitor General,Operating Expense,Health Services,Health Services,,Transfer payments,Mental Health Services for Public Safety Personnel (PSP),651625
Solicitor General,Operating Expense,Infrastructure,Infrastructure,Infrastructure,Salaries and wages,,5800234
Solicitor General,Operating Expense,Infrastructure,Infrastructure,Infrastructure,Employee benefits,,730578
Solicitor General,Operating Expense,Infrastructure,Infrastructure,Infrastructure,Transportation and communication,,250244
Solicitor General,Operating Expense,Infrastructure,Infrastructure,Infrastructure,Services,,502323
Solicitor General,Operating Expense,Infrastructure,Infrastructure,Infrastructure,Supplies and equipment,,20720
Solicitor General,Operating Expense,Infrastructure,Infrastructure,Charge For Accommodation Costs,Services,,94904432
Solicitor General,Operating Expense,Infrastructure,Infrastructure,P3 Projects Contractual Costs,Services,,31763704
Solicitor General,Operating Expense,Infrastructure,Infrastructure,P3 Projects Contractual Costs,Other transactions,Public Private Partnership Financing Cost,41052264
Solicitor General,Capital Expense,Infrastructure,Infrastructure,Infrastructure,Services,,30351230
Solicitor General,Capital Expense,Infrastructure,Infrastructure,Infrastructure,Supplies and equipment,,5208
Solicitor General,Capital Expense,Infrastructure,Infrastructure,Infrastructure,Other transactions,,37053546
Solicitor General,Capital Expense,Infrastructure,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",2709946
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,3954252
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,470057
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,82621
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,154222
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,12511
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,,8656005
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,,1335182
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,,92807
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,,647010
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,,41095
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,4258773
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,675402
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,44023
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,43278755
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,20400
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,54136
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,8575142
Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,140461
Finance,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
Finance,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salary, the Executive Council Act",33334
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,,Salaries and wages,,4197891
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,,Employee benefits,,586541
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,,Transportation and communication,,14586
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,,Services,,162429
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,,Supplies and equipment,,8031
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,,Salaries and wages,,4629964
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,,Employee benefits,,568703
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,,Transportation and communication,,23686
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,,Services,,1014469
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,,Supplies and equipment,,5181
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,,Salaries and wages,,3862929
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,,Employee benefits,,514655
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,,Transportation and communication,,53359
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,,Services,,1447113
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,,Supplies and equipment,,1977
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,,Recoveries,,-112929
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,,Salaries and wages,,127261
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,,Employee benefits,,18327
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,,Transportation and communication,,3563
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,,Services,,540811
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,,Supplies and equipment,,715
Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,,Recoveries,,-690677
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,,Salaries and wages,,10017027
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,,Employee benefits,,1203571
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,,Transportation and communication,,37510
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,,Services,,662981
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,,Supplies and equipment,,254740
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,,Salaries and wages,,4436195
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,,Employee benefits,,645250
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,,Transportation and communication,,29412
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,,Services,,119338
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,,Supplies and equipment,,3898
Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Statutory Appropriations,,Other transactions,"Hydro One Inc., Provincial Corporate Tax Provision, the Electricity Act, 1998",36000000
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Salaries and wages,,8635608
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Employee benefits,,1212517
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Transportation and communication,,71094
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Services,,124136867
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Supplies and equipment,,8367
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Salaries and wages,,59082015
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Employee benefits,,9674507
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transportation and communication,,2465983
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Services,,19097707
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Supplies and equipment,,1577789
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Guaranteed Annual Income System,284104472
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Tax Compliance Partnership Agreements,1474
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Recoveries,,-3664699
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,,Salaries and wages,,5934979
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,,Employee benefits,,825398
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,,Transportation and communication,,25812
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,,Services,,1084557
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,,Supplies and equipment,,50885
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,,Salaries and wages,,8802362
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,,Employee benefits,,1021158
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,,Transportation and communication,,52237
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,,Services,,18197417
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,,Supplies and equipment,,55619
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Municipal Support Programs,,Transfer payments,Ontario Municipal Partnership Fund,501438575
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Municipal Support Programs,,Transfer payments,Special Payments to Municipalities,16692996
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Municipal Support Programs,,Transfer payments,Transitional Mitigation Payment,51665600
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Statutory Appropriations,,Services,"Payments to Private Collection Agencies, the Financial Administration Act",4898465
Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",45206649
Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Ontario Securities - For general purposes,14263649520
Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Ontario Securities - Canada Pension Plan Investment Board,364692785
Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,"Other Interest, Exchange Discount and Commission",-10743157
Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest Capitalized in Ministry Appropriations,-160600425
Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Investments,-2601157628
Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Debt Payable to Ontario Electricity Financial Corporation,398836914
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,,4154812
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,,489628
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,,160962
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,,267785
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,,33743
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,,2310140
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,,293744
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,,36832
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,,610432
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,,721
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Salaries and wages,,3694022
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Employee benefits,,489112
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Transportation and communication,,11688
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Services,,295144
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,,3943497
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,,533034
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,,22211
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,,889209
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,,11752
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,54169
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,8823017
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,77538
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,,162087
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,,2014552
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,,328308
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,,10431
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,,547617
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,,2359
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",49301
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act",33155
"Labour, Immigration, Training and Skills Development",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",21158
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,,Salaries and wages,,2223939
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,,Employee benefits,,285072
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,,Transportation and communication,,29267
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,,Services,,528933
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Office,,Supplies and equipment,,19917
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,,Salaries and wages,,199970
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,,Employee benefits,,17316
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,,Transportation and communication,,361
"Labour, Immigration, Training and Skills Development",Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,,Services,,49525
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,,Salaries and wages,,9112242
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,,Employee benefits,,1116762
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,,Transportation and communication,,123324
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,,Services,,3001179
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Ontario Labour Relations Board,,Supplies and equipment,,189242
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Grievance Settlement Board,,Salaries and wages,,428300
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Grievance Settlement Board,,Employee benefits,,75819
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Grievance Settlement Board,,Transportation and communication,,8498
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Grievance Settlement Board,,Services,,3789640
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Grievance Settlement Board,,Supplies and equipment,,2662
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Grievance Settlement Board,,Recoveries,,-1822423
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Labour Relations Solutions,,Salaries and wages,,8111860
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Labour Relations Solutions,,Employee benefits,,1046205
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Labour Relations Solutions,,Transportation and communication,,275252
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Labour Relations Solutions,,Services,,3797380
"Labour, Immigration, Training and Skills Development",Operating Expense,Labour Relations Program,Labour Relations Solutions,,Supplies and equipment,,5325
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Salaries and wages,,69921216
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Employee benefits,,10234356
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Transportation and communication,,2191828
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Services,,12196255
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Supplies and equipment,,1792547
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,,Transfer payments,Grants to Promote Improved Health and Safety Practices,129355
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,,Salaries and wages,,505200
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,,Employee benefits,,75900
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,,Transportation and communication,,8200
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,,Services,,5600
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,,Supplies and equipment,,10400
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,,Salaries and wages,,8238913
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,,Employee benefits,,2111614
"Labour, Immigration, Training and Skills Development",Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,,Transportation and communication,,102837
